,plot_ID,LAT,LON
0,37_39_63,35.1409124826348,-84.1768385605462
1,37_39_63,35.144172708620374,-84.1784099733023
2,37_39_63,35.132432964508006,-84.18170144925396
3,37_39_63,35.14060872584814,-84.18106852126087
4,37_39_63,35.13993859705221,-84.18409636235434
5,37_39_63,35.14477805477059,-84.18238874084452
6,37_39_63,35.139466428895496,-84.18515405764703
7,37_39_63,35.14214844123941,-84.18451124084748
8,37_39_63,35.14020493202408,-84.1789621296215
9,37_39_63,35.138403966888944,-84.1788816432297
10,37_43_9,35.058559590533974,-83.64530176143936
11,37_43_9,35.05722196694347,-83.65390767280441
12,37_43_9,35.0549971189391,-83.6529213248408
13,37_43_9,35.05647461013021,-83.6555457643114
14,37_43_9,35.05389706479576,-83.6457446346172
15,37_43_9,35.058584327510594,-83.64886453116189
16,37_43_9,35.04888040770256,-83.65137659504025
17,37_43_9,35.05947568144057,-83.65124566778425
18,37_43_9,35.054756701117654,-83.65482405591835
19,37_43_9,35.058352199681885,-83.65105032370178
20,37_199_11,35.7958964694205,-82.22973285803026
21,37_199_11,35.792663649386995,-82.23299005429261
22,37_199_11,35.79600898711005,-82.22578716371714
23,37_199_11,35.80005239698606,-82.23553361368641
24,37_199_11,35.80103923244861,-82.22650918306373
25,37_199_11,35.79587508139566,-82.22999347190738
26,37_199_11,35.79148945168149,-82.22745702290496
27,37_199_11,35.80028707815539,-82.2298210818727
28,37_199_11,35.802292640432874,-82.2315026067499
29,37_199_11,35.79943923713788,-82.22653870631743
30,37_21_56,35.803108531776566,-82.35070166828639
31,37_21_56,35.80478112584563,-82.35055160801734
32,37_21_56,35.8106764756698,-82.34621152721834
33,37_21_56,35.8077253853617,-82.35228315127806
34,37_21_56,35.80522483802496,-82.35176264220706
35,37_21_56,35.80816127987025,-82.34622708680062
36,37_21_56,35.80536342157757,-82.35074492613742
37,37_21_56,35.799675439054425,-82.35282884440821
38,37_21_56,35.80240989731325,-82.35656326916373
39,37_21_56,35.80806383726006,-82.35826197166867
40,37_23_5,35.903395214468325,-81.812927836777
41,37_23_5,35.89350418177337,-81.81792814858186
42,37_23_5,35.90115196795947,-81.8118426286338
43,37_23_5,35.89679777248645,-81.8120588583147
44,37_23_5,35.89339850426422,-81.8129906534549
45,37_23_5,35.898583274022805,-81.8112189160849
46,37_23_5,35.90047403834527,-81.8140120938424
47,37_23_5,35.890422042764754,-81.80968924969457
48,37_23_5,35.893190444994396,-81.80711473264597
49,37_23_5,35.89125300826217,-81.81518475388594
50,37_75_24,35.28256768807576,-83.96589898020012
51,37_75_24,35.27963785588913,-83.96988158108942
52,37_75_24,35.28391767484007,-83.96198394198863
53,37_75_24,35.288062589724674,-83.96603094255241
54,37_75_24,35.28148083938336,-83.9626744413785
55,37_75_24,35.281278160364636,-83.97188254968606
56,37_75_24,35.27881214704864,-83.9712565951809
57,37_75_24,35.28722442273055,-83.96224182133271
58,37_75_24,35.28767304442962,-83.97088841091374
59,37_75_24,35.276175577551555,-83.96530398653732
60,37_75_12,35.37536883387988,-83.91312788380414
61,37_75_12,35.37697334844556,-83.91338470404683
62,37_75_12,35.37555527533287,-83.91010908836164
63,37_75_12,35.37202500513228,-83.9100346330227
64,37_75_12,35.37351370865445,-83.91739685728278
65,37_75_12,35.37887075848128,-83.91220365712267
66,37_75_12,35.3756552254341,-83.9222649686028
67,37_75_12,35.374282999259464,-83.91737331820755
68,37_75_12,35.379295745646026,-83.9180979916792
69,37_75_12,35.376099586936576,-83.9163207647877
70,37_75_17,35.37562321748791,-83.72989691357375
71,37_75_17,35.373845138827534,-83.73353346876372
72,37_75_17,35.37793856010843,-83.74090988170455
73,37_75_17,35.37997590673718,-83.73317381042406
74,37_75_17,35.37030914409925,-83.73413762450133
75,37_75_17,35.37472757596977,-83.73565063516321
76,37_75_17,35.375745713315276,-83.73020286738269
77,37_75_17,35.3740954880494,-83.73573710820554
78,37_75_17,35.37527624736605,-83.7372861275903
79,37_75_17,35.36935353298473,-83.73878469370455
80,37_111_56,35.70748794197995,-82.12042160481361
81,37_111_56,35.70906387951271,-82.12174181813101
82,37_111_56,35.71722899584923,-82.11823381332394
83,37_111_56,35.716740241468955,-82.13336142257266
84,37_111_56,35.71136515371529,-82.11902612135721
85,37_111_56,35.71145446502808,-82.13321942184929
86,37_111_56,35.71401564977434,-82.13029689916931
87,37_111_56,35.71681196052623,-82.13076776839189
88,37_111_56,35.713470969553406,-82.12549769551487
89,37_111_56,35.70973822577536,-82.11927919990067
90,37_113_31,35.10453377243701,-83.20827132367697
91,37_113_31,35.10407934100596,-83.20038356980724
92,37_113_31,35.10594203417252,-83.20897189075286
93,37_113_31,35.10146056495992,-83.19723940195387
94,37_113_31,35.09847283024765,-83.19850096370354
95,37_113_31,35.098845156357775,-83.20480116153772
96,37_113_31,35.10135735844998,-83.20589309386669
97,37_113_31,35.10001794479597,-83.20879035637911
98,37_113_31,35.099954978050235,-83.20095396929128
99,37_113_31,35.09912245119506,-83.19344942625315
100,37_113_42,35.04821901650219,-83.46983801745272
101,37_113_42,35.044182867705246,-83.47039419125028
102,37_113_42,35.046174578081704,-83.47504722824155
103,37_113_42,35.049509077738655,-83.46486218372247
104,37_113_42,35.047942209213176,-83.47448408365364
105,37_113_42,35.04559873660752,-83.47777538899102
106,37_113_42,35.045924379823596,-83.47227545551665
107,37_113_42,35.044319888441144,-83.46199332398677
108,37_113_42,35.0488191223184,-83.46529164949379
109,37_113_42,35.05025833749181,-83.47112090178364
110,37_113_20,35.15014115930637,-83.40520551202636
